                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.46536,                0.35816,                0.88081,                0.52313,                0.36598,                0.39473,                0.13568,                 2.4103,                 2.4329,                 2.3189,             0.00023121,             0.00023121,             0.00023121
                     90,                0.46482,                0.36436,                0.88698,                0.60212,                 0.3439,                0.40486,                0.14087,                 2.3444,                 2.5301,                 2.2487,             0.00021471,             0.00021471,             0.00021471
                     91,                0.42296,                0.28571,                0.83947,                0.58894,                0.30453,                0.35694,                0.11747,                  2.394,                 2.6783,                 2.3053,             0.00019821,             0.00019821,             0.00019821
                     92,                0.41586,                0.27717,                0.84079,                0.60377,                0.31729,                0.36913,                0.11991,                 2.3985,                 2.6521,                 2.3122,              0.0001817,              0.0001817,              0.0001817
                     93,                0.41142,                0.27309,                0.83584,                0.57647,                 0.3174,                0.36845,                0.12212,                 2.3892,                 2.6999,                 2.2876,              0.0001652,              0.0001652,              0.0001652
                     94,                0.41128,                0.27342,                0.83806,                0.58898,                0.31341,                0.35598,                0.11812,                  2.399,                 2.7227,                  2.296,              0.0001487,              0.0001487,              0.0001487
                     95,                0.40832,                0.27002,                0.83274,                0.56934,                0.31781,                0.36243,                0.12329,                 2.4081,                 2.6602,                 2.3059,             0.00013219,             0.00013219,             0.00013219
                     96,                0.40685,                0.26608,                0.83542,                0.55695,                 0.3228,                0.36058,                0.12399,                 2.4058,                 2.7444,                 2.3087,             0.00011569,             0.00011569,             0.00011569
                     97,                0.40467,                0.26699,                0.83187,                0.52116,                0.31172,                0.34244,                0.11672,                 2.4138,                 2.8411,                 2.3114,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.40059,                0.26242,                0.82942,                 0.5606,                0.30236,                0.34066,                0.11653,                 2.4219,                 2.8209,                 2.3168,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.40328,                0.26148,                0.83188,                0.54988,                0.32275,                0.35778,                0.12229,                 2.4177,                 2.8066,                 2.3101,              6.618e-05,              6.618e-05,              6.618e-05
